dateTime,body-weight,body-fat
2014-04-02,92.624,28.9440002441406
2014-04-03,92.624,28.9440002441406
2014-04-04,92.624,28.9440002441406
2014-04-05,92.624,28.9440002441406
2014-04-06,92.624,28.9440002441406
2014-04-07,92.624,28.9440002441406
2014-04-08,92.624,28.9440002441406
2014-04-09,92.624,28.9440002441406
2014-04-10,92.624,28.9440002441406
2014-04-11,92.624,28.9440002441406
2014-04-12,92.624,28.9440002441406
2014-04-13,92.624,28.9440002441406
2014-04-14,92.624,28.9440002441406
2014-04-15,92.624,28.9440002441406
2014-04-16,92.624,28.9440002441406
2014-04-17,92.624,28.9440002441406
2014-04-18,92.624,28.9440002441406
2014-04-19,92.624,28.9440002441406
2014-04-20,92.624,28.9440002441406
2014-04-21,92.624,28.9440002441406
2014-04-22,92.624,28.9440002441406
2014-04-23,92.624,28.9440002441406
2014-04-24,92.624,28.9440002441406
2014-04-25,92.624,28.9440002441406
2014-04-26,92.624,28.9440002441406
2014-04-27,92.624,28.9440002441406
2014-04-28,92.624,28.9440002441406
2014-04-29,92.624,28.9440002441406
2014-04-30,92.624,28.9440002441406
2014-05-01,92.624,28.9440002441406
2014-05-02,92.624,28.9440002441406
2014-05-03,92.624,28.9440002441406
2014-05-04,92.624,28.9440002441406
2014-05-05,92.624,28.9440002441406
2014-05-06,92.624,28.9440002441406
2014-05-07,92.624,28.9440002441406
2014-05-08,92.624,28.9440002441406
2014-05-09,92.624,28.9440002441406
2014-05-10,92.624,28.9440002441406
2014-05-11,92.624,28.9440002441406
2014-05-12,92.624,28.9440002441406
2014-05-13,92.624,28.9440002441406
2014-05-14,92.624,28.9440002441406
2014-05-15,92.624,28.9440002441406
2014-05-16,92.624,28.9440002441406
2014-05-17,92.624,28.9440002441406
2014-05-18,92.624,28.9440002441406
2014-05-19,92.624,28.9440002441406
2014-05-20,92.624,28.9440002441406
2014-05-21,92.624,28.9440002441406
2014-05-22,92.624,28.9440002441406
2014-05-23,92.624,28.9440002441406
2014-05-24,92.624,28.9440002441406
2014-05-25,92.624,28.9440002441406
2014-05-26,92.624,28.9440002441406
2014-05-27,92.624,28.9440002441406
2014-05-28,92.624,28.9440002441406
2014-05-29,92.624,28.9440002441406
2014-05-30,92.624,28.9440002441406
2014-05-31,92.624,28.9440002441406
2014-06-01,92.624,28.9440002441406
2014-06-02,92.624,28.9440002441406
2014-06-03,92.624,28.9440002441406
2014-06-04,92.624,28.9440002441406
2014-06-05,92.624,28.9440002441406
2014-06-06,92.624,28.9440002441406
2014-06-07,92.624,28.9440002441406
2014-06-08,92.624,28.9440002441406
2014-06-09,92.624,28.9440002441406
2014-06-10,92.624,28.9440002441406
2014-06-11,92.624,28.9440002441406
2014-06-12,92.624,28.9440002441406
2014-06-13,92.624,28.9440002441406
2014-06-14,92.624,28.9440002441406
2014-06-15,92.624,28.9440002441406
2014-06-16,92.624,28.9440002441406
2014-06-17,92.624,28.9440002441406
2014-06-18,92.624,28.9440002441406
2014-06-19,92.624,28.9440002441406
2014-06-20,92.624,28.9440002441406
2014-06-21,92.624,28.9440002441406
2014-06-22,92.624,28.9440002441406
2014-06-23,92.624,28.9440002441406
2014-06-24,92.624,28.9440002441406
2014-06-25,92.624,28.9440002441406
2014-06-26,92.624,28.9440002441406
2014-06-27,92.624,28.9440002441406
2014-06-28,92.624,28.9440002441406
2014-06-29,92.624,28.9440002441406
2014-06-30,92.624,28.9440002441406
2014-07-01,92.624,28.9440002441406
2014-07-02,92.624,28.9440002441406
2014-07-03,92.624,28.9440002441406
2014-07-04,92.624,28.9440002441406
2014-07-05,92.624,28.9440002441406
2014-07-06,92.624,28.9440002441406
2014-07-07,92.624,28.9440002441406
2014-07-08,92.624,28.9440002441406
2014-07-09,92.624,28.9440002441406
2014-07-10,92.624,28.9440002441406
2014-07-11,92.624,28.9440002441406
2014-07-12,92.624,28.9440002441406
2014-07-13,92.624,28.9440002441406
2014-07-14,92.624,28.9440002441406
2014-07-15,92.624,28.9440002441406
2014-07-16,92.624,28.9440002441406
2014-07-17,92.624,28.9440002441406
2014-07-18,92.624,28.9440002441406
2014-07-19,92.624,28.9440002441406
2014-07-20,92.624,28.9440002441406
2014-07-21,92.624,28.9440002441406
2014-07-22,92.624,28.9440002441406
2014-07-23,92.624,28.9440002441406
2014-07-24,92.624,28.9440002441406
2014-07-25,92.624,28.9440002441406
2014-07-26,92.624,28.9440002441406
2014-07-27,92.624,28.9440002441406
2014-07-28,92.624,28.9440002441406
2014-07-29,92.624,28.9440002441406
2014-07-30,92.624,28.9440002441406
2014-07-31,92.624,28.9440002441406
2014-08-01,92.624,28.9440002441406
2014-08-02,92.624,28.9440002441406
2014-08-03,92.624,28.9440002441406
2014-08-04,92.624,28.9440002441406
2014-08-05,92.624,28.9440002441406
2014-08-06,92.624,28.9440002441406
2014-08-07,92.624,28.9440002441406
2014-08-08,92.624,28.9440002441406
2014-08-09,92.624,28.9440002441406
2014-08-10,92.624,28.9440002441406
2014-08-11,92.624,28.9440002441406
2014-08-12,92.624,28.9440002441406
2014-08-13,92.624,28.9440002441406
2014-08-14,92.624,28.9440002441406
2014-08-15,92.624,28.9440002441406
2014-08-16,92.624,28.9440002441406
2014-08-17,92.624,28.9440002441406
2014-08-18,92.624,28.9440002441406
2014-08-19,92.624,28.9440002441406
2014-08-20,92.624,28.9440002441406
2014-08-21,92.624,28.9440002441406
2014-08-22,92.624,28.9440002441406
2014-08-23,92.624,28.9440002441406
2014-08-24,92.624,28.9440002441406
2014-08-25,92.624,28.9440002441406
2014-08-26,92.624,28.9440002441406
2014-08-27,92.624,28.9440002441406
2014-08-28,92.624,28.9440002441406
2014-08-29,92.624,28.9440002441406
2014-08-30,92.624,28.9440002441406
2014-08-31,92.624,28.9440002441406
2014-09-01,92.624,28.9440002441406
2014-09-02,92.624,28.9440002441406
2014-09-03,92.624,28.9440002441406
2014-09-04,92.624,28.9440002441406
2014-09-05,92.624,28.9440002441406
2014-09-06,92.624,28.9440002441406
2014-09-07,92.624,28.9440002441406
2014-09-08,92.624,28.9440002441406
2014-09-09,92.624,28.9440002441406
2014-09-10,92.624,28.9440002441406
2014-09-11,92.624,28.9440002441406
2014-09-12,92.624,28.9440002441406
2014-09-13,92.624,28.9440002441406
2014-09-14,92.624,28.9440002441406
2014-09-15,92.624,28.9440002441406
2014-09-16,92.624,28.9440002441406
2014-09-17,92.624,28.9440002441406
2014-09-18,92.624,28.9440002441406
2014-09-19,92.624,28.9440002441406
2014-09-20,92.624,28.9440002441406
2014-09-21,92.624,28.9440002441406
2014-09-22,92.624,28.9440002441406
2014-09-23,92.624,28.9440002441406
2014-09-24,92.624,28.9440002441406
2014-09-25,92.624,28.9440002441406
2014-09-26,92.624,28.9440002441406
2014-09-27,92.624,28.9440002441406
2014-09-28,92.624,28.9440002441406
2014-09-29,92.624,28.9440002441406
2014-09-30,92.624,28.9440002441406
2014-10-01,92.624,28.9440002441406
2014-10-02,92.624,28.9440002441406
2014-10-03,92.624,28.9440002441406
2014-10-04,92.624,28.9440002441406
2014-10-05,92.624,28.9440002441406
2014-10-06,92.624,28.9440002441406
2014-10-07,92.624,28.9440002441406
2014-10-08,92.624,28.9440002441406
2014-10-09,92.624,28.9440002441406
2014-10-10,92.624,28.9440002441406
2014-10-11,92.624,28.9440002441406
2014-10-12,92.624,28.9440002441406
2014-10-13,92.624,28.9440002441406
2014-10-14,92.624,28.9440002441406
2014-10-15,92.624,28.9440002441406
2014-10-16,92.624,28.9440002441406
2014-10-17,92.624,28.9440002441406
2014-10-18,92.624,28.9440002441406
2014-10-19,92.624,28.9440002441406
2014-10-20,92.624,28.9440002441406
2014-10-21,92.624,28.9440002441406
2014-10-22,92.624,28.9440002441406
2014-10-23,92.624,28.9440002441406
2014-10-24,92.624,28.9440002441406
2014-10-25,92.624,28.9440002441406
2014-10-26,92.624,28.9440002441406
2014-10-27,92.624,28.9440002441406
