Date,Workout Name,Exercise Name,Set Order,lb,Reps,mi,Seconds
2016-09-05 13:04:16,"A1","Bench Press",1,115.0,4,0.0,0
2016-09-05 13:04:16,"A1","Bench Press",2,115.0,4,0.0,0
2016-09-05 13:04:16,"A1","Bench Press",3,115.0,4,0.0,0
2016-09-05 13:04:16,"A1","Bench Press",4,115.0,4,0.0,0
2016-09-05 13:04:16,"A1","Front Squat",1,95.0,8,0.0,0
2016-09-05 13:04:16,"A1","Front Squat",2,95.0,8,0.0,0
2016-09-05 13:04:16,"A1","Front Squat",3,95.0,8,0.0,0
2016-09-05 13:04:16,"A1","Front Squat",4,95.0,8,0.0,0
2016-09-05 13:04:16,"A1","Military Press",1,65.0,8,0.0,0
2016-09-05 13:04:16,"A1","Military Press",2,65.0,8,0.0,0
2016-09-05 13:04:16,"A1","Military Press",3,65.0,8,0.0,0
2016-09-05 13:04:16,"A1","Military Press",4,65.0,8,0.0,0
2016-09-05 13:04:16,"A1","Chin Up",1,0.0,8,0.0,0
2016-09-05 13:04:16,"A1","Chin Up",2,0.0,7,0.0,0
2016-09-05 13:04:16,"A1","Chin Up",3,0.0,4,0.0,0
2016-09-05 13:04:16,"A1","Chin Up",4,0.0,4,0.0,0
2016-09-07 12:30:03,"A2","Bench Press",1,115.0,8,0.0,0
2016-09-07 12:30:03,"A2","Bench Press",2,115.0,8,0.0,0
2016-09-07 12:30:03,"A2","Bench Press",3,115.0,8,0.0,0
2016-09-07 12:30:03,"A2","Bench Press",4,115.0,8,0.0,0
2016-09-07 12:30:03,"A2","Deadlift",1,135.0,4,0.0,0
2016-09-07 12:30:03,"A2","Deadlift",2,135.0,4,0.0,0
2016-09-07 12:30:03,"A2","Deadlift",3,135.0,4,0.0,0
2016-09-07 12:30:03,"A2","Deadlift",4,135.0,4,0.0,0
2016-09-07 12:30:03,"A2","Military Press",1,85.0,4,0.0,0
2016-09-07 12:30:03,"A2","Military Press",2,85.0,4,0.0,0
2016-09-07 12:30:03,"A2","Military Press",3,85.0,4,0.0,0
2016-09-07 12:30:03,"A2","Military Press",4,85.0,4,0.0,0
2016-09-07 12:30:03,"A2","Pendlay Row",1,95.0,8,0.0,0
2016-09-07 12:30:03,"A2","Pendlay Row",2,95.0,8,0.0,0
2016-09-07 12:30:03,"A2","Pendlay Row",3,95.0,8,0.0,0
2016-09-07 12:30:03,"A2","Pendlay Row",4,95.0,8,0.0,0
2016-09-09 13:12:29,"A3","Bench Press",1,115.0,4,0.0,0
2016-09-09 13:12:29,"A3","Bench Press",2,115.0,4,0.0,0
2016-09-09 13:12:29,"A3","Bench Press",3,115.0,4,0.0,0
2016-09-09 13:12:29,"A3","Bench Press",4,115.0,8,0.0,0
2016-09-09 13:12:29,"A3","Front Squat",1,95.0,4,0.0,0
2016-09-09 13:12:29,"A3","Front Squat",2,95.0,4,0.0,0
2016-09-09 13:12:29,"A3","Front Squat",3,95.0,4,0.0,0
2016-09-09 13:12:29,"A3","Front Squat",4,95.0,8,0.0,0
2016-09-09 13:12:29,"A3","Military Press",1,85.0,8,0.0,0
2016-09-09 13:12:29,"A3","Military Press",2,85.0,8,0.0,0
2016-09-09 13:12:29,"A3","Military Press",3,85.0,8,0.0,0
2016-09-09 13:12:29,"A3","Military Press",4,85.0,8,0.0,0
2016-09-09 13:12:29,"A3","Chin Up",1,0.0,4,0.0,0
2016-09-09 13:12:29,"A3","Chin Up",2,0.0,4,0.0,0
2016-09-09 13:12:29,"A3","Chin Up",3,0.0,4,0.0,0
2016-09-09 13:12:29,"A3","Chin Up",4,0.0,4,0.0,0
2016-09-12 11:43:38,"B1","Bench Press",1,115.0,8,0.0,0
2016-09-12 11:43:38,"B1","Bench Press",2,115.0,8,0.0,0
2016-09-12 11:43:38,"B1","Bench Press",3,115.0,8,0.0,0
2016-09-12 11:43:38,"B1","Bench Press",4,115.0,8,0.0,0
2016-09-12 11:43:38,"B1","Deadlift",1,165.0,8,0.0,0
2016-09-12 11:43:38,"B1","Deadlift",2,165.0,8,0.0,0
